k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
49,1,nan,nan,3.363119e-02,nan,2.431279e+01,5.000000e+00,2.500000e+02,1.000062e+00,nan,5.817936e-04,1.000000e-03,5.000000e+00
49,2,nan,nan,3.006718e-02,nan,2.434185e+01,5.000000e+00,2.500000e+02,1.000156e+00,nan,6.486044e-04,1.000000e-03,5.000000e+00
50,0,3.037021e-02,2.041313e-03,3.243283e-03,3.171464e-02,2.647916e+01,5.000000e+00,2.550000e+02,1.001462e+00,nan,5.733055e-03,9.803922e-04,5.000000e+00
50,1,9.194024e-03,2.261317e-04,3.289353e-02,4.535920e-02,2.432538e+01,5.000000e+00,2.550000e+02,1.000067e+00,nan,5.715937e-04,9.803922e-04,5.000000e+00
50,2,8.338626e-03,1.907585e-04,2.927229e-02,4.047361e-02,2.435472e+01,5.000000e+00,2.550000e+02,1.000163e+00,nan,6.393475e-04,9.803922e-04,5.000000e+00
51,0,nan,nan,3.139222e-03,nan,2.647967e+01,5.000000e+00,2.600000e+02,1.001438e+00,nan,5.701361e-03,9.615385e-04,5.000000e+00
51,1,nan,nan,3.218418e-02,nan,2.433735e+01,5.000000e+00,2.600000e+02,1.000069e+00,nan,5.621507e-04,9.615385e-04,5.000000e+00
51,2,nan,nan,2.854097e-02,nan,2.436710e+01,5.000000e+00,2.600000e+02,1.000147e+00,nan,6.316937e-04,9.615385e-04,5.000000e+00
52,0,nan,nan,3.056101e-03,nan,2.648017e+01,5.000000e+00,2.650000e+02,1.001410e+00,nan,5.670172e-03,9.433962e-04,5.000000e+00
52,1,nan,nan,3.149284e-02,nan,2.434869e+01,5.000000e+00,2.650000e+02,1.000075e+00,nan,5.530645e-04,9.433962e-04,5.000000e+00
52,2,nan,nan,2.787291e-02,nan,2.437899e+01,5.000000e+00,2.650000e+02,1.000128e+00,nan,6.236623e-04,9.433962e-04,5.000000e+00
53,0,nan,nan,2.994629e-03,nan,2.648064e+01,5.000000e+00,2.700000e+02,1.001380e+00,nan,5.610671e-03,9.259259e-04,5.000000e+00
53,1,nan,nan,3.081985e-02,nan,2.435945e+01,5.000000e+00,2.700000e+02,1.000090e+00,nan,5.444658e-04,9.259259e-04,5.000000e+00
53,2,nan,nan,2.721501e-02,nan,2.439034e+01,5.000000e+00,2.700000e+02,1.000115e+00,nan,6.151771e-04,9.259259e-04,5.000000e+00
54,0,nan,nan,2.946695e-03,nan,2.648110e+01,5.000000e+00,2.750000e+02,1.001353e+00,nan,5.519524e-03,9.090909e-04,5.000000e+00
54,1,nan,nan,3.012083e-02,nan,2.436966e+01,5.000000e+00,2.750000e+02,1.000101e+00,nan,5.363078e-04,9.090909e-04,5.000000e+00
