k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
47,0,nan,nan,1.420195e-03,nan,2.645906e+01,1.000000e+00,1.646000e+03,1.000234e+00,nan,1.521041e-02,1.041667e-03,1.000000e+00
47,1,nan,nan,1.450385e-02,nan,2.414491e+01,1.000000e+00,1.646000e+03,1.000245e+00,nan,1.491874e-03,1.041667e-03,1.000000e+00
47,2,nan,nan,1.361133e-02,nan,2.415897e+01,1.000000e+00,1.646000e+03,1.000291e+00,nan,1.589147e-03,1.041667e-03,1.000000e+00
48,0,nan,nan,1.404958e-03,nan,2.645927e+01,1.000000e+00,1.647000e+03,1.000230e+00,nan,1.466324e-02,1.020408e-03,1.000000e+00
48,1,nan,nan,1.439274e-02,nan,2.415222e+01,1.000000e+00,1.647000e+03,1.000263e+00,nan,1.435802e-03,1.020408e-03,1.000000e+00
48,2,nan,nan,1.349673e-02,nan,2.416635e+01,1.000000e+00,1.647000e+03,1.000361e+00,nan,1.529950e-03,1.020408e-03,1.000000e+00
49,0,nan,nan,1.391562e-03,nan,2.645948e+01,1.000000e+00,1.648000e+03,1.000225e+00,nan,1.423530e-02,1.000000e-03,1.000000e+00
49,1,nan,nan,1.428476e-02,nan,2.415942e+01,1.000000e+00,1.648000e+03,1.000269e+00,nan,1.389590e-03,1.000000e-03,1.000000e+00
49,2,nan,nan,1.336853e-02,nan,2.417361e+01,1.000000e+00,1.648000e+03,1.000430e+00,nan,1.481840e-03,1.000000e-03,1.000000e+00
50,0,9.591428e-03,6.447061e-04,1.379656e-03,1.144710e-02,2.645968e+01,1.000000e+00,1.649000e+03,1.000220e+00,nan,1.381424e-02,9.803922e-04,1.000000e+00
50,1,3.941051e-02,9.701998e-04,1.417856e-02,5.698409e-02,2.416653e+01,1.000000e+00,1.649000e+03,1.000268e+00,nan,1.345726e-03,9.803922e-04,1.000000e+00
50,2,3.647085e-02,8.349590e-04,1.322987e-02,5.286884e-02,2.418076e+01,1.000000e+00,1.649000e+03,1.000475e+00,nan,1.437957e-03,9.803922e-04,1.000000e+00
51,0,nan,nan,1.368533e-03,nan,2.645988e+01,1.000000e+00,1.650000e+03,1.000214e+00,nan,1.340271e-02,9.615385e-04,1.000000e+00
51,1,nan,nan,1.407329e-02,nan,2.417354e+01,1.000000e+00,1.650000e+03,1.000266e+00,nan,1.304161e-03,9.615385e-04,1.000000e+00
51,2,nan,nan,1.309094e-02,nan,2.418780e+01,1.000000e+00,1.650000e+03,1.000517e+00,nan,1.397680e-03,9.615385e-04,1.000000e+00
52,0,nan,nan,1.357209e-03,nan,2.646008e+01,1.000000e+00,1.651000e+03,1.000208e+00,nan,1.300658e-02,9.433962e-04,1.000000e+00
52,1,nan,nan,1.396722e-02,nan,2.418045e+01,1.000000e+00,1.651000e+03,1.000264e+00,nan,1.264802e-03,9.433962e-04,1.000000e+00
52,2,nan,nan,1.294828e-02,nan,2.419474e+01,1.000000e+00,1.651000e+03,1.000540e+00,nan,1.359713e-03,9.433962e-04,1.000000e+00
53,0,nan,nan,1.345053e-03,nan,2.646027e+01,1.000000e+00,1.652000e+03,1.000204e+00,nan,1.263385e-02,9.259259e-04,1.000000e+00
